Source,Target,Type,Id,Label,timeset,Weight
5,10,Undirected,1802,,"<[2020.0, 2025.0]>",1
5,12,Undirected,1803,,"<[2020.0, 2025.0]>",1
5,13,Undirected,1804,,"<[2020.0, 2025.0]>",1
5,17,Undirected,1805,,"<[2020.0, 2025.0]>",1
5,18,Undirected,1806,,"<[2020.0, 2025.0]>",1
5,20,Undirected,1807,,"<[2020.0, 2025.0]>",1
5,25,Undirected,1808,,"<[2020.0, 2025.0]>",1
5,27,Undirected,1809,,"<[2020.0, 2025.0]>",1
5,28,Undirected,1810,,"<[2020.0, 2025.0]>",1
5,29,Undirected,1811,,"<[2020.0, 2025.0]>",1
5,32,Undirected,1812,,"<[2020.0, 2025.0]>",1
5,41,Undirected,1813,,"<[2020.0, 2025.0]>",1
5,42,Undirected,1814,,"<[2020.0, 2025.0]>",1
6,7,Undirected,1815,,"<[2020.0, 2025.0]>",1
6,8,Undirected,1816,,"<[2020.0, 2025.0]>",1
6,10,Undirected,1817,,"<[2020.0, 2025.0]>",1
6,12,Undirected,1818,,"<[2020.0, 2025.0]>",1
6,14,Undirected,1819,,"<[2020.0, 2025.0]>",1
6,15,Undirected,1820,,"<[2020.0, 2025.0]>",1
6,19,Undirected,1822,,"<[2020.0, 2025.0]>",1
6,22,Undirected,1823,,"<[2020.0, 2025.0]>",1
6,26,Undirected,1824,,"<[2020.0, 2025.0]>",1
6,29,Undirected,1825,,"<[2020.0, 2025.0]>",1
6,33,Undirected,1826,,"<[2020.0, 2025.0]>",1
6,34,Undirected,1827,,"<[2020.0, 2025.0]>",1
6,35,Undirected,1828,,"<[2020.0, 2025.0]>",1
6,39,Undirected,1829,,"<[2020.0, 2025.0]>",1
7,8,Undirected,1833,,"<[2020.0, 2025.0]>",1
7,10,Undirected,1834,,"<[2020.0, 2025.0]>",1
7,12,Undirected,1835,,"<[2020.0, 2025.0]>",1
7,14,Undirected,1836,,"<[2020.0, 2025.0]>",1
7,15,Undirected,1837,,"<[2020.0, 2025.0]>",1
7,17,Undirected,1838,,"<[2020.0, 2025.0]>",1
7,19,Undirected,1839,,"<[2020.0, 2025.0]>",1
7,22,Undirected,1840,,"<[2020.0, 2025.0]>",1
7,26,Undirected,1841,,"<[2020.0, 2025.0]>",1
7,29,Undirected,1842,,"<[2020.0, 2025.0]>",1
7,33,Undirected,1843,,"<[2020.0, 2025.0]>",1
7,34,Undirected,1844,,"<[2020.0, 2025.0]>",1
7,35,Undirected,1845,,"<[2020.0, 2025.0]>",1
7,39,Undirected,1846,,"<[2020.0, 2025.0]>",1
7,41,Undirected,1847,,"<[2020.0, 2025.0]>",1
8,10,Undirected,1850,,"<[2020.0, 2025.0]>",1
8,12,Undirected,1851,,"<[2020.0, 2025.0]>",1
8,14,Undirected,1852,,"<[2020.0, 2025.0]>",1
8,15,Undirected,1853,,"<[2020.0, 2025.0]>",1
8,17,Undirected,1854,,"<[2020.0, 2025.0]>",1
8,19,Undirected,1855,,"<[2020.0, 2025.0]>",1
8,20,Undirected,1856,,"<[2020.0, 2025.0]>",1
8,22,Undirected,1857,,"<[2020.0, 2025.0]>",1
8,26,Undirected,1858,,"<[2020.0, 2025.0]>",1
8,29,Undirected,1860,,"<[2020.0, 2025.0]>",1
8,33,Undirected,1861,,"<[2020.0, 2025.0]>",1
8,34,Undirected,1862,,"<[2020.0, 2025.0]>",1
8,35,Undirected,1863,,"<[2020.0, 2025.0]>",1
8,39,Undirected,1864,,"<[2020.0, 2025.0]>",1
8,41,Undirected,1865,,"<[2020.0, 2025.0]>",1
8,46,Undirected,1866,,"<[2020.0, 2025.0]>",1
8,42,Undirected,1867,,"<[2020.0, 2025.0]>",1
9,10,Undirected,1868,,"<[2020.0, 2025.0]>",1
9,12,Undirected,1869,,"<[2020.0, 2025.0]>",1
9,18,Undirected,1870,,"<[2020.0, 2025.0]>",1
9,25,Undirected,1871,,"<[2020.0, 2025.0]>",1
9,27,Undirected,1872,,"<[2020.0, 2025.0]>",1
